Number,Results Count,Execution Time (s)
1,1,0.000000
2,1,0.000000
3,1,0.000000
4,1,0.000000
5,2,0.000000
6,1,0.000000
7,2,0.000000
8,1,0.000000
9,3,0.000000
10,3,0.000000
11,4,0.000000
12,2,0.000000
13,7,0.000000
14,8,0.000915
15,12,0.000000
16,13,0.000000
17,16,0.000000
18,25,0.000000
19,28,0.000000
20,55,0.000000
21,51,0.000000
22,91,0.001000
23,90,0.000000
24,158,0.001000
25,176,0.000998
26,288,0.001002
27,297,0.001998
28,487,0.002000
29,521,0.003001
30,847,0.005003
31,908,0.005099
32,1355,0.007995
33,1580,0.010011
34,2175,0.013790
35,2744,0.021003
36,3636,0.023997
37,4452,0.031229
38,5678,0.044792
39,7385,0.054994
40,9398,0.077454
41,11966,0.096800
42,14508,0.130598
43,19322,0.167272
44,23065,0.224314
45,31301,0.292403
46,36177,0.423464
47,49080,0.551477
48,57348,0.655750
49,77446,0.856027
50,91021,1.113070
