Number,Results Count,Execution Time (s)
1,1,0.000000
2,1,0.000000
3,1,0.000000
4,1,0.000000
5,2,0.000000
6,1,0.000000
7,2,0.000000
8,1,0.000000
9,3,0.000000
10,3,0.000000
11,4,0.000000
12,2,0.000000
13,7,0.000000
14,8,0.000000
15,12,0.000000
16,13,0.000000
17,16,0.000000
18,25,0.000000
19,28,0.000000
20,55,0.000998
21,51,0.000000
22,91,0.000000
23,90,0.001000
24,158,0.000000
25,176,0.000998
26,288,0.001002
27,297,0.002000
28,487,0.003000
29,521,0.004002
30,847,0.004000
31,908,0.006000
32,1355,0.009104
33,1580,0.011898
34,2175,0.014003
35,2744,0.019507
36,3636,0.029000
37,4452,0.037097
38,5678,0.047600
39,7385,0.080445
40,9398,0.091080
41,11966,0.115877
42,14508,0.145259
43,19322,0.184555
44,23065,0.272624
45,31301,0.389153
46,36177,0.451336
47,49080,0.548837
48,57348,0.652430
49,77446,0.902834
50,91021,1.216840
51,121113,1.503638
52,141805,2.014920
53,189715,3.133130
54,221814,3.385834
55,297917,4.366480
56,347899,5.466639
57,457171,6.762654
58,544301,9.001091
59,708179,11.688830
60,855369,14.505640
61,1092840,18.631314
62,1323840,23.447069
63,1681896,30.208195
64,2054576,43.989546
65,2601365,53.519408
66,3183996,62.524632
67,3965549,81.591978
68,4912415,101.279803
69,6068696,126.978491
70,7596889,145.550646
71,9271012,181.163016
72,11588312,222.789787
73,14130991,281.305344
74,17727166,352.029523
75,21558603,446.025349
76,26976411,688.996336
77,32611060,1045.712635
78,40958954,1343.816587
79,49363461,1641.955448
80,62065278,2106.694942
